Taxa	T1	T2
SD1	0	0
SD2	0.1	0.1
SD3	0.1	2
SD4	2.7	8
SD5	0.066666667	4
SD6	1.833333333	0.1
SD7	1.533333333	54
SD8	7.333333333	4
SD9	4.166666667	0
SD10	4	0.1
SD11	5.166666667	4
SD12	1.333333333	0.1
SD13	0.1	0.1
SD14	0.1	4
SD15	0.566666667	0
SD16	0.566666667	0.1
SD17	1	0.1
SD18	2	0.1
SD19	2.5	0
SD20	3.5	2
SD21	16	3
SD22	2.5	0
SD23	11.33333333	0.1
SD24	13.33333333	0.1
SD25	9.5	0
SD26	18	0.1
SD27	5.166666667	0.1
SD28	1.533333333	0.1
SD29	0.1	0
SD30	1.533333333	0
SD31	14	0
SD32	13	0
SD33	1.166666667	1
SD34	7.133333333	63
SD35	18	42
SD36	20	48
SD37	0.1	0
SD38	1.533333333	4
SD39	4.333333333	2
SD40	1.333333333	0
SD41	16	4
SD42	28.66666667	36
SD43	4.5	1
SD44	10	36
SD45	0.1	54
SD46	26.66666667	0.1
SD47	4.666666667	16
SD48	1.666666667	0
SD49	0	0.1
SD50	0.1	0
SD51	0.1	0
SD52	15	0.1
SD53	10	0
SD54	5.833333333	0.1
SD55	9.666666667	0.1
SD56	4	0.1
SD57	3.5	0
SD58	3.5	0
SD59	2.5	0
SD60	0.1	2
SD61	0.1	80
SD62	-999	63
SD63	0.566666667	90
SD64	1.5	90
SD65	0.733333333	90
SD68	2	5
SD69	40	90
SD70	0.1	-999
SD71	0.1	1
SD72	4	90
SD73	4	90
SD74	1	4
SD75	3	2
SD76	0.1	4
SD77	1	12
SD79	0.1	8
SD80	0.1	4
SD81	0.1	4
SD82	0.1	8
SD83	1.833333333	63
SD84	-999	24
SD85	0.566666667	0.1
SD86	1.566666667	8
SD87	0.1	1
SD88	0.1	0
SD89	0.566666667	0.1
SD92	3	-999
SD93	3	4
SD94	0.1	24
SD95	0.1	0
SD96	0.1	0
SD97	0.1	2
SD98	0	0
SD99	2.5	1
SD100	0	0
SD101	0.066666667	4
SD102	1	4
SD103	0	0.1
SD104	0.566666667	4
SD105	0.1	2
SD106	0.566666667	4
SD107	2.033333333	6
SD108	0.066666667	0
SD109	1.533333333	2
SD110	4.5	4
SD111	2.033333333	0
SD112	1.033333333	0
SD113	1.533333333	12
SD114	1.533333333	8
SD115	12	24
SD116	13.33333333	8
SD117	36	12
SD118	50.33333333	12
SD119	19	48
SD120	1.5	8
SD121	4.7	4
SD123	-999	0
SD124	23	60
SD125	-999	0
SD126	0.1	0
SD127	4	0.1
SD128	6.666666667	4
SD129	3.033333333	16
SD130	4	4
SD131	0	48
SD132	3.033333333	4
SD133	6.666666667	18
SD134	3.5	70
SD135	0.1	6
SD136	1.033333333	24
SD137	0.7	0.1
SD138	2.033333333	18
SD139	23	90
SD140	1.033333333	12
SD141	3.5	40
SD142	3.166666667	48
SD143	2	0
SD144	0.1	12
SD145	2	18
SD146	2.733333333	0
SD147	2.5	0
SD148	1.666666667	0
SD149	18	90
SD150	2.033333333	0.1
SD151	2.033333333	0.1
SD152	1	0
SD153	1	0
SD154	1.033333333	0
SD155	2.033333333	0
SD156	0.066666667	0
SD157	0.066666667	0
SD158	14.66666667	24
SD159	23.33333333	56
SD161	1.066666667	0
SD162	0	8
SD163	0	0.1
SD164	12	8
SD165	5.333333333	0
SD166	0.566666667	32
SD167	0	0
SD168	2.033333333	24
SD170	0	0
SD171	0	12
SD172	2.033333333	12
SD173	3.333333333	45
SD174	0	0
SD175	12.66666667	8
SD176	12.66666667	0
SD177	0	0
SD178	-999	-999
SD179	0	0
SD180	0.1	8
SD181	6.5	4
SD182	0.1	40
SD183	2	0
SD184	-999	0
SD185	1.533333333	0.1
SD186	1.833333333	0.1
SD187	2	-999
SD189	4.666666667	0.1
SD190	8	0.1
SD191	2.7	24
SD192	0	0
SD193	0.066666667	0
SD194	0	0
SD195	0	0
SD196	1	0
SD203	1	27
SD204	0.1	0
SD206	0.1	0
SD207	0.033333333	0
SD208	0.066666667	0
SD209	0.366666667	0
